file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/rest/RuntimeContainerResourceAssembler.java,org.springframework.xd.dirt.rest.RuntimeContainerResourceAssembler,class,7,8,1,7,3,2,0,7,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,0,1,0,1,0,0,0,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-distributed-test/src/test/java/org/springframework/xd/distributed/test/JobStateTests.java,org.springframework.xd.distributed.test.JobStateTests$FileContentMatcher,innerclass,2,2,0,2,12,2,0,9,2,0.5833333,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,57,4,1,4,2,0,8,1,11,1,9,3,0,0,0,107,2,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/util/logging/LoggerAbbreviator.java,org.springframework.xd.dirt.util.logging.LoggerAbbreviator,class,1,2,1,1,5,1,0,3,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,22,2,1,0,0,0,2,1,4,2,4,3,0,0,0,15,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-dirt/src/test/java/org/springframework/xd/dirt/rest/metrics/GaugeControllerIntegrationTests.java,org.springframework.xd.dirt.rest.metrics.GaugeControllerIntegrationTests,class,10,10,0,10,9,2,0,19,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,39,0,4,0,0,0,29,15,10,8,8,1,0,0,0,38,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/zookeeper/ZooKeeperConnection.java,org.springframework.xd.dirt.zookeeper.ZooKeeperConnection,class,11,41,30,11,23,1,0,19,98,0.8858131,0.13970588,0.34558824,17,0,17,0,0,0,17,0,0,2,17,6,5,12,0,0,12,0,0,121,8,0,3,0,1,3,5,19,0,17,2,0,1,0,169,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-module/src/main/java/org/springframework/xd/module/core/JavaConfiguredModule.java,org.springframework.xd.module.core.JavaConfiguredModule$JavaConfigValidationListener,innerclass,6,6,0,6,8,1,0,12,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,28,0,2,0,0,0,1,0,6,0,5,4,0,0,0,30,8,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-rest-client/src/main/java/org/springframework/xd/rest/client/GaugeOperations.java,org.springframework.xd.rest.client.GaugeOperations,interface,3,6,3,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-tuple/src/test/java/org/springframework/xd/tuple/serializer/kryo/TupleCodecTests.java,org.springframework.xd.tuple.serializer.kryo.TupleCodecTests,class,8,8,0,8,3,1,0,12,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,4,27,0,0,0,0,0,14,11,11,0,11,0,0,0,0,33,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-rest-client/src/main/java/org/springframework/xd/rest/client/impl/GaugeTemplate.java,org.springframework.xd.rest.client.impl.GaugeTemplate,class,4,5,1,4,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-xd_ec106725c51d245109b2e5055d9f65e43228ecc1/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/server/admin/deployment/RuntimeModuleDeploymentPropertiesProvider.java,org.springframework.xd.dirt.server.admin.deployment.RuntimeModuleDeploymentPropertiesProvider,class,5,7,2,5,4,1,1,7,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,1,1,0,2,0,0,19,1,0,2,0,1,0,4,6,1,5,1,0,0,0,55,1,0
