file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/manager/oracle/OraOopOracleDataChunkExtent.java,org.apache.sqoop.manager.oracle.OraOopOracleDataChunkExtent,toString/0,false,93,1,1,0,1,1,5,9,1,1,0,5,0,0,0,0,0,0,5,0,1,0,0,0,0,0,16,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/manager/oracle/OraOopOracleDataChunkExtent.java,org.apache.sqoop.manager.oracle.OraOopOracleDataChunkExtent,getWhereClause/0,false,52,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/manager/oracle/OraOopOracleDataChunkExtent.java,org.apache.sqoop.manager.oracle.OraOopOracleDataChunkExtent,getNumberOfBlocks/0,false,85,0,0,0,0,3,0,8,2,0,0,0,0,0,0,2,0,1,0,4,0,2,1,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/manager/oracle/OraOopOracleDataChunkExtent.java,org.apache.sqoop.manager.oracle.OraOopOracleDataChunkExtent,"OraOopOracleDataChunkExtent/5[java.lang.String,int,int,long,long]",true,42,1,2,1,1,1,1,7,0,0,5,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/manager/oracle/OraOopOracleDataChunkExtent.java,org.apache.sqoop.manager.oracle.OraOopOracleDataChunkExtent,OraOopOracleDataChunkExtent/0,true,36,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/manager/oracle/OraOopOracleDataChunkExtent.java,org.apache.sqoop.manager.oracle.OraOopOracleDataChunkExtent,readFields/1[java.io.DataInput],false,76,1,1,0,1,1,4,7,0,0,1,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/manager/oracle/OraOopOracleDataChunkExtent.java,org.apache.sqoop.manager.oracle.OraOopOracleDataChunkExtent,write/1[java.io.DataOutput],false,67,1,1,0,1,1,4,7,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/tool/ToolPlugin.java,org.apache.sqoop.tool.ToolPlugin,getTools/0,false,28,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1025,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/mapreduce/mainframe/MainframeDatasetInputFormat.java,org.apache.sqoop.mapreduce.mainframe.MainframeDatasetInputFormat,"retrieveDatasets/2[java.lang.String,org.apache.sqoop.mapreduce.mainframe.Configuration]",false,92,2,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/sqoop_0216f7fbb7b71f610d02dfa95dafb2c81acbc690/src/java/org/apache/sqoop/mapreduce/mainframe/MainframeDatasetInputFormat.java,org.apache.sqoop.mapreduce.mainframe.MainframeDatasetInputFormat,getSplits/1[org.apache.sqoop.mapreduce.mainframe.JobContext],false,57,6,4,0,4,6,11,32,1,10,1,11,0,0,3,1,0,1,4,2,10,4,4,0,0,0,32,1,3,false
