file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,RdfFreemarkerCli/1[java.lang.String[]],args,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,RdfFreemarkerCli/1[java.lang.String[]],typesafe,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,call/0,args,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,call/0,typesafe,14
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,call/0,LOGGER,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,main/1[java.lang.String[]],args,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,main/1[java.lang.String[]],LOGGER,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-contrib/streams-provider-youtube/src/main/java/org/apache/streams/youtube/serializer/YoutubeVideoDeserializer.java,org.apache.streams.youtube.serializer.YoutubeVideoDeserializer,"deserialize/2[org.apache.streams.youtube.serializer.JsonParser,org.apache.streams.youtube.serializer.DeserializationContext]",LOGGER,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,BaseStreamsTask/1[org.apache.streams.local.tasks.StreamsConfiguration],streamConfig,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,BaseStreamsTask/1[org.apache.streams.local.tasks.StreamsConfiguration],mapper,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,setStartedAt/0,streamConfig,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,getNextDatum/0,inIndex,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,getNextDatum/0,inQueues,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,getStartedAt/0,streamConfig,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,getInputQueues/0,inQueues,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,isWaiting/0,inQueues,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,getNextInputQueueIndex/0,inIndex,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,getNextInputQueueIndex/0,inQueues,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,addOutputQueue/1[java.util.concurrent.BlockingQueue<org.apache.streams.local.tasks.StreamsDatum>],outQueues,1
