file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,RdfFreemarkerCli/1[java.lang.String[]],true,71,0,2,2,0,1,2,5,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,dropExtension/1[java.lang.String],false,177,0,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,call/0,false,77,2,2,2,0,9,13,64,2,15,0,13,0,0,0,0,1,10,24,7,22,5,1,0,0,0,24,1,7,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-cli/src/main/java/org/apache/streams/cli/RdfFreemarkerCli.java,org.apache.streams.cli.RdfFreemarkerCli,main/1[java.lang.String[]],false,60,1,2,0,2,2,3,11,0,1,1,3,1,1,0,0,1,0,1,2,1,0,1,0,0,0,8,9,1,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-contrib/streams-provider-youtube/src/main/java/org/apache/streams/youtube/serializer/YoutubeVideoDeserializer.java,org.apache.streams.youtube.serializer.YoutubeVideoDeserializer,buildStatistics/1[org.apache.streams.youtube.serializer.JsonNode],false,105,2,1,1,0,1,7,10,1,2,1,7,0,0,0,0,0,0,6,0,2,0,0,0,0,0,12,2,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-contrib/streams-provider-youtube/src/main/java/org/apache/streams/youtube/serializer/YoutubeVideoDeserializer.java,org.apache.streams.youtube.serializer.YoutubeVideoDeserializer,"deserialize/2[org.apache.streams.youtube.serializer.JsonParser,org.apache.streams.youtube.serializer.DeserializationContext]",false,51,5,2,0,2,2,12,15,1,2,2,12,2,1,0,0,1,0,4,0,2,0,1,0,0,0,37,1,1,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-contrib/streams-provider-youtube/src/main/java/org/apache/streams/youtube/serializer/YoutubeVideoDeserializer.java,org.apache.streams.youtube.serializer.YoutubeVideoDeserializer,buildSnippet/1[org.apache.streams.youtube.serializer.JsonNode],false,74,5,1,1,0,2,13,19,1,4,1,13,0,0,1,0,0,0,11,0,4,0,1,0,0,0,19,2,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,BaseStreamsTask/1[org.apache.streams.local.tasks.StreamsConfiguration],true,56,4,2,0,2,2,4,11,0,0,1,4,1,1,0,1,0,0,0,0,3,0,1,0,0,0,9,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,setStartedAt/0,false,210,0,1,1,0,1,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/streams_5427e72d02bd7f1904da05cdf033359690d2dd00/streams-runtimes/streams-runtime-local/src/main/java/org/apache/streams/local/tasks/BaseStreamsTask.java,org.apache.streams.local.tasks.BaseStreamsTask,getNextDatum/0,false,93,2,1,0,1,3,3,11,1,3,0,3,1,1,1,2,0,0,0,0,4,0,1,0,0,0,37,4,0,true
