file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,contextDestroyed/1[mailreader2.ServletContextEvent],e,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,contextDestroyed/1[mailreader2.ServletContextEvent],event,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,calculatePath/0,path,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,calculatePath/0,file,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,calculatePath/0,os,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,calculatePath/0,bos,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,calculatePath/0,is,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,calculatePath/0,buffer,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,calculatePath/0,dir,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,calculatePath/0,bis,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,calculatePath/0,n,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,setPathname/1[java.lang.String],pathname,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,contextInitialized/1[mailreader2.ServletContextEvent],path,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,contextInitialized/1[mailreader2.ServletContextEvent],e,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/struts-examples_59674d7d79a806c12c23380895da007c292fc42f/mailreader/src/main/java/mailreader2/ApplicationListener.java,mailreader2.ApplicationListener,contextInitialized/1[mailreader2.ServletContextEvent],event,1
