file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.android.ui/src/org/eclipse/thym/android/ui/AndroidUI.java,org.eclipse.thym.android.ui.AndroidUI,stop/1[org.eclipse.thym.android.ui.BundleContext],plugin,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.android.ui/src/org/eclipse/thym/android/ui/AndroidUI.java,org.eclipse.thym.android.ui.AndroidUI,getDefault/0,plugin,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.android.ui/src/org/eclipse/thym/android/ui/AndroidUI.java,org.eclipse.thym.android.ui.AndroidUI,start/1[org.eclipse.thym.android.ui.BundleContext],plugin,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous6,"inputChanged/3[org.eclipse.thym.ui.config.internal.Viewer,java.lang.Object,java.lang.Object]",items,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous6,getElements/1[java.lang.Object],items,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.core/src/org/eclipse/thym/core/engine/internal/cordova/DownloadableCordovaEngine.java,org.eclipse.thym.core.engine.internal.cordova.DownloadableCordovaEngine,getDownloadURL/0,downloadURL,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.core/src/org/eclipse/thym/core/engine/internal/cordova/DownloadableCordovaEngine.java,org.eclipse.thym.core.engine.internal.cordova.DownloadableCordovaEngine,getPlatformId/0,platformId,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.core/src/org/eclipse/thym/core/engine/internal/cordova/DownloadableCordovaEngine.java,org.eclipse.thym.core.engine.internal.cordova.DownloadableCordovaEngine,getVersion/0,version,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.core/src/org/eclipse/thym/core/engine/internal/cordova/DownloadableCordovaEngine.java,org.eclipse.thym.core.engine.internal.cordova.DownloadableCordovaEngine,setVersion/1[java.lang.String],version,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.core/src/org/eclipse/thym/core/engine/internal/cordova/DownloadableCordovaEngine.java,org.eclipse.thym.core.engine.internal.cordova.DownloadableCordovaEngine,setPlatformId/1[java.lang.String],platformId,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.core/src/org/eclipse/thym/core/engine/internal/cordova/DownloadableCordovaEngine.java,org.eclipse.thym.core.engine.internal.cordova.DownloadableCordovaEngine,setDownloadURL/1[java.lang.String],downloadURL,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/tests/org.eclipse.thym.test/src/org/eclipse/thym/hybrid/test/TestUtils.java,org.eclipse.thym.hybrid.test.TestUtils,getTempDirectory/0,temp,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/wizard/export/NativeBinaryDestinationPage.java,org.eclipse.thym.ui.wizard.export.NativeBinaryDestinationPage,"NativeBinaryDestinationPage/2[java.lang.String,org.eclipse.thym.ui.wizard.export.IStructuredSelection]",IMAGE_WIZBAN,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.core/src/org/eclipse/thym/core/plugin/registry/plugin/CordovaRegistryPlugin.java,org.eclipse.thym.core.plugin.registry.plugin.CordovaRegistryPlugin$DistTag,setLatest/1[java.lang.String],latest,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.core/src/org/eclipse/thym/core/plugin/registry/plugin/CordovaRegistryPlugin.java,org.eclipse.thym.core.plugin.registry.plugin.CordovaRegistryPlugin$DistTag,getLatest/0,latest,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.wp.ui/src/org/eclipse/thym/wp/internal/ui/launch/WPOptionsTab.java,org.eclipse.thym.wp.internal.ui.launch.WPOptionsTab,isTabValid/0,devices,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.wp.ui/src/org/eclipse/thym/wp/internal/ui/launch/WPOptionsTab.java,org.eclipse.thym.wp.internal.ui.launch.WPOptionsTab,isTabValid/0,devicesCombo,1
