file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.android.ui/src/org/eclipse/thym/android/ui/AndroidUI.java,org.eclipse.thym.android.ui.AndroidUI,stop/1[org.eclipse.thym.android.ui.BundleContext],context,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.android.ui/src/org/eclipse/thym/android/ui/AndroidUI.java,org.eclipse.thym.android.ui.AndroidUI,start/1[org.eclipse.thym.android.ui.BundleContext],context,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.android.ui/src/org/eclipse/thym/android/ui/AndroidUI.java,org.eclipse.thym.android.ui.AndroidUI,start/1[org.eclipse.thym.android.ui.BundleContext],store,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous9,widgetSelected/1[org.eclipse.thym.ui.config.internal.SelectionEvent],dialog,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous9,widgetSelected/1[org.eclipse.thym.ui.config.internal.SelectionEvent],e,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous9,widgetSelected/1[org.eclipse.thym.ui.config.internal.SelectionEvent],sel,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous9,widgetSelected/1[org.eclipse.thym.ui.config.internal.SelectionEvent],selectedFeature,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous8,getText/1[java.lang.Object],entry,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous8,getText/1[java.lang.Object],element,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous7,getText/1[java.lang.Object],entry,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous7,getText/1[java.lang.Object],element,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous6,"inputChanged/3[org.eclipse.thym.ui.config.internal.Viewer,java.lang.Object,java.lang.Object]",viewer,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous6,"inputChanged/3[org.eclipse.thym.ui.config.internal.Viewer,java.lang.Object,java.lang.Object]",oldInput,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous6,"inputChanged/3[org.eclipse.thym.ui.config.internal.Viewer,java.lang.Object,java.lang.Object]",newInput,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous6,getElements/1[java.lang.Object],inputElement,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous5,selectionChanged/1[org.eclipse.thym.ui.config.internal.SelectionChangedEvent],sel,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/thym_b57a824e18279a2164ee334a2af9bb47ac30788f/plugins/org.eclipse.thym.ui/src/org/eclipse/thym/ui/config/internal/PropertiesPage.java,org.eclipse.thym.ui.config.internal.PropertiesPage$Anonymous5,selectionChanged/1[org.eclipse.thym.ui.config.internal.SelectionChangedEvent],event,2
