file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/apps/paymentmethodtoken/src/test/java/com/google/crypto/tink/apps/paymentmethodtoken/PaymentMethodTokenHybridDecryptTest.java,com.google.crypto.tink.apps.paymentmethodtoken.PaymentMethodTokenHybridDecryptTest,class,13,14,1,13,9,1,0,20,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,55,0,4,0,3,2,5,10,22,3,20,3,0,0,0,52,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/java/src/main/java/com/google/crypto/tink/signature/PublicKeySignFactory.java,com.google.crypto.tink.signature.PublicKeySignFactory,class,7,13,6,7,2,1,0,4,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,10,2,0,0,0,0,0,0,1,0,1,0,0,0,0,49,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/java/src/main/java/com/google/crypto/tink/subtle/ChaCha20.java,com.google.crypto.tink.subtle.ChaCha20,class,4,7,3,4,4,2,0,4,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,18,2,0,1,0,0,1,6,2,2,1,1,0,0,0,46,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/java/src/test/java/com/google/crypto/tink/hybrid/EciesAeadHkdfHybridEncryptTest.java,com.google.crypto.tink.hybrid.EciesAeadHkdfHybridEncryptTest,class,18,19,1,18,6,1,0,16,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,37,0,1,0,0,0,7,4,13,0,13,2,0,0,0,54,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/java/src/test/java/com/google/crypto/tink/subtle/RewindableReadableByteChannelTest.java,com.google.crypto.tink.subtle.RewindableReadableByteChannelTest,class,6,6,0,6,9,1,0,19,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,29,134,0,1,0,4,1,6,33,45,17,45,1,0,0,0,65,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/java/src/main/java/com/google/crypto/tink/PublicKeyVerify.java,com.google.crypto.tink.PublicKeyVerify,interface,1,33,32,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/java/src/main/java/com/google/crypto/tink/hybrid/HybridEncryptWrapper.java,com.google.crypto.tink.hybrid.HybridEncryptWrapper$WrappedHybridEncrypt,innerclass,5,5,0,5,2,1,0,5,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/java/src/main/java/com/google/crypto/tink/subtle/Ed25519Constants.java,com.google.crypto.tink.subtle.Ed25519Constants$Point,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/java/src/test/java/com/google/crypto/tink/subtle/XChaCha20Poly1305Test.java,com.google.crypto.tink.subtle.XChaCha20Poly1305Test$XChaCha20Poly1305TestVector,innerclass,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,6,0,6,0,0,0,0,0,6,16,0,0,0,0,0,0,0,6,0,6,0,0,0,0,12,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tink_ba64189ae1a44c2935f060a4de06bdc2df721a93/java/src/test/java/com/google/crypto/tink/KeysetManagerTest.java,com.google.crypto.tink.KeysetManagerTest,class,12,23,11,12,73,1,0,46,1128,0.0,0.0,0.0,48,1,40,8,0,0,40,0,0,0,0,0,0,0,0,0,0,0,109,533,4,0,0,25,0,46,110,129,7,129,1,10,0,0,78,1,0
