file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,RGBAColorDescriptor/1[org.eclipse.triquetrum.workflow.editor.util.RGBA],color,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,RGBAColorDescriptor/1[org.eclipse.triquetrum.workflow.editor.util.Color],originalColor,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,equals/1[java.lang.Object],color,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,equals/1[java.lang.Object],originalColor,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,createColor/1[org.eclipse.triquetrum.workflow.editor.util.Device],color,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,createColor/1[org.eclipse.triquetrum.workflow.editor.util.Device],originalColor,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,hashCode/0,color,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,destroyColor/1[org.eclipse.triquetrum.workflow.editor.util.Color],originalColor,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/wizard/ExportToMomlWizardPage.java,org.eclipse.triquetrum.workflow.editor.wizard.ExportToMomlWizardPage,getAbsoluteExportFolderPath/0,exportFolderPathField,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/wizard/ExportToMomlWizardPage.java,org.eclipse.triquetrum.workflow.editor.wizard.ExportToMomlWizardPage,ensureTargetIsValid/1[java.io.File],exportFolderPathField,1
