file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,RGBAColorDescriptor/1[org.eclipse.triquetrum.workflow.editor.util.RGBA],color,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,RGBAColorDescriptor/1[org.eclipse.triquetrum.workflow.editor.util.Color],originalColor,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,equals/1[java.lang.Object],other,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,equals/1[java.lang.Object],obj,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,createColor/1[org.eclipse.triquetrum.workflow.editor.util.Device],device,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/util/RGBAColorDescriptor.java,org.eclipse.triquetrum.workflow.editor.util.RGBAColorDescriptor,destroyColor/1[org.eclipse.triquetrum.workflow.editor.util.Color],toDestroy,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/features/ConnectionDeleteFeature.java,org.eclipse.triquetrum.workflow.editor.features.ConnectionDeleteFeature,ConnectionDeleteFeature/1[org.eclipse.triquetrum.workflow.editor.features.IFeatureProvider],fp,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/features/ConnectionDeleteFeature.java,org.eclipse.triquetrum.workflow.editor.features.ConnectionDeleteFeature,canDelete/1[org.eclipse.triquetrum.workflow.editor.features.IDeleteContext],connectionPE,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/features/ConnectionDeleteFeature.java,org.eclipse.triquetrum.workflow.editor.features.ConnectionDeleteFeature,canDelete/1[org.eclipse.triquetrum.workflow.editor.features.IDeleteContext],context,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/features/ConnectionDeleteFeature.java,org.eclipse.triquetrum.workflow.editor.features.ConnectionDeleteFeature,canDelete/1[org.eclipse.triquetrum.workflow.editor.features.IDeleteContext],bo,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/features/ConnectionDeleteFeature.java,org.eclipse.triquetrum.workflow.editor.features.ConnectionDeleteFeature,deleteBusinessObject/1[java.lang.Object],bo,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/plugins/editor/org.eclipse.triquetrum.workflow.editor/src/main/java/org/eclipse/triquetrum/workflow/editor/features/ConnectionDeleteFeature.java,org.eclipse.triquetrum.workflow.editor.features.ConnectionDeleteFeature,deleteBusinessObject/1[java.lang.Object],relation,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/triquetrum_e4c5834ce3d68bd97820157d426a427dfe8e2a9b/tests/org.eclipse.triquetrum.scisoft.analysis.rpc.test/src/org/eclipse/triquetrum/scisoft/analysis/rpc/AnalysisRpcExceptionsTest.java,org.eclipse.triquetrum.scisoft.analysis.rpc.AnalysisRpcExceptionsTest$CatStringsHandler,run/1[java.lang.Object[]],unflattened,2
