file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,getModuleArtifactRepository/0,agent,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,getModuleArtifactRepository/0,project,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,getModuleMetadataRepository/0,agent,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,getModuleMetadataRepository/0,project,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,"createModuleMetadataRepository/2[org.eclipse.tycho.repository.module.IMetadataRepositoryManager,java.net.URI]",EMPTY_MAP,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,"createModuleMetadataRepository/2[org.eclipse.tycho.repository.module.IMetadataRepositoryManager,java.net.URI]",BUILD_REPOSITORY_NAME,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,"PublishingRepositoryLoader/2[org.eclipse.tycho.repository.module.IProvisioningAgent,org.eclipse.tycho.ReactorProjectIdentities]",agent,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,"PublishingRepositoryLoader/2[org.eclipse.tycho.repository.module.IProvisioningAgent,org.eclipse.tycho.ReactorProjectIdentities]",project,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,"createModuleArtifactRepository/2[org.eclipse.tycho.repository.module.IArtifactRepositoryManager,java.net.URI]",EMPTY_MAP,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/tycho_913062f90a6bad5c8c2b57c77111a52e698105d5/tycho-bundles/org.eclipse.tycho.p2.maven.repository/src/main/java/org/eclipse/tycho/repository/module/PublishingRepositoryLoader.java,org.eclipse.tycho.repository.module.PublishingRepositoryLoader,"createModuleArtifactRepository/2[org.eclipse.tycho.repository.module.IArtifactRepositoryManager,java.net.URI]",BUILD_REPOSITORY_NAME,1
