file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/util/SimpleNamedResourceManager.java,org.apache.uima.fit.util.SimpleNamedResourceManager,"setExternalContext/1[java.util.Map<java.lang.String,java.lang.Object>]",externalContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/util/SimpleNamedResourceManager.java,org.apache.uima.fit.util.SimpleNamedResourceManager,"initializeExternalResources/3[org.apache.uima.fit.util.ResourceManagerConfiguration,java.lang.String,java.util.Map<java.lang.String,java.lang.Object>]",externalContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/util/SimpleNamedResourceManager.java,org.apache.uima.fit.util.SimpleNamedResourceManager,isAutoWireEnabled/0,autoWireEnabled,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/util/SimpleNamedResourceManager.java,org.apache.uima.fit.util.SimpleNamedResourceManager,setAutoWireEnabled/1[boolean],autoWireEnabled,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/factory/TypeSystemDescriptionFactory.java,org.apache.uima.fit.factory.TypeSystemDescriptionFactory,scanTypeDescriptors/0,SCAN_LOCK,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/factory/TypeSystemDescriptionFactory.java,org.apache.uima.fit.factory.TypeSystemDescriptionFactory,scanTypeDescriptors/0,typeDescriptorLocations,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/factory/TypeSystemDescriptionFactory.java,org.apache.uima.fit.factory.TypeSystemDescriptionFactory,forceTypeDescriptorsScan/0,typeDescriptorLocations,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/util/ContainmentIndex.java,org.apache.uima.fit.util.ContainmentIndex,containing/1[U],dataRev,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/util/ContainmentIndex.java,org.apache.uima.fit.util.ContainmentIndex,containedIn/1[S],data,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/util/ContainmentIndex.java,org.apache.uima.fit.util.ContainmentIndex,"ContainmentIndex/4[org.apache.uima.fit.util.CAS,org.apache.uima.cas.Type,org.apache.uima.cas.Type,org.apache.uima.fit.util.ContainmentIndex.Type]",data,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimafit_c98df465869d7f4f1d907d2821791edee762ed10/uimafit-core/src/main/java/org/apache/uima/fit/util/ContainmentIndex.java,org.apache.uima.fit.util.ContainmentIndex,"ContainmentIndex/4[org.apache.uima.fit.util.CAS,org.apache.uima.cas.Type,org.apache.uima.cas.Type,org.apache.uima.fit.util.ContainmentIndex.Type]",dataRev,2
