file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-core/src/main/java/org/apache/uima/UIMA_UnsupportedOperationException.java,org.apache.uima.UIMA_UnsupportedOperationException,class,1,9,8,1,6,2,0,0,15,1.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,5,5,4,1,0,0,5,0,0,25,0,0,0,0,0,4,1,5,0,5,0,0,0,0,103,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-core/src/main/java/org/apache/uima/cas_data/FeatureValue.java,org.apache.uima.cas_data.FeatureValue,interface,0,7,7,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-core/src/main/java/org/apache/uima/cas/impl/FSBagIndex.java,org.apache.uima.cas.impl.FSBagIndex,class,18,23,5,18,53,2,0,30,85,0.5480769,0.35,0.35,26,0,11,1,3,11,25,0,1,0,4,1,0,3,0,1,3,0,0,162,30,0,1,0,11,0,17,12,3,11,2,0,0,0,145,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-core/src/main/java/org/apache/uima/analysis_engine/impl/RsType.java,org.apache.uima.analysis_engine.impl.RsType,class,8,11,3,8,29,1,0,14,0,0.6938776,0.5714286,1.0,7,0,0,0,0,7,7,0,0,0,7,1,1,0,0,6,2,0,5,83,17,2,16,0,3,0,8,22,0,16,3,0,0,0,90,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-core/src/main/java/org/apache/uima/cas/Marker.java,org.apache.uima.cas.Marker,interface,1,9,8,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-core/src/main/java/org/apache/uima/cas/ParsingException.java,org.apache.uima.cas.ParsingException,class,0,0,0,0,2,3,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,29,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-core/src/test/java/org/apache/uima/cas/test/IntArrayFSTest.java,org.apache.uima.cas.test.IntArrayFSTest,class,7,8,1,7,32,2,0,10,3,0.33333334,0.4,0.4,6,1,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,1,113,0,2,17,8,0,0,59,23,0,7,1,0,0,0,38,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-core/src/test/java/org/apache/uima/testTypeSystem_arrays/OfShorts.java,org.apache.uima.testTypeSystem_arrays.OfShorts,class,6,9,3,6,18,2,0,12,45,0.9,0.0,0.0,10,0,8,1,1,0,9,0,0,0,2,2,2,0,0,0,2,0,0,43,3,0,4,0,11,8,0,2,0,2,1,0,0,0,70,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-ep-launcher/src/main/java/org/apache/uima/ep_launcher/LauncherConstants.java,org.apache.uima.ep_launcher.LauncherConstants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,8,0,0,11,0,0,0,0,0,8,0,8,0,8,0,0,1,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/uima-uimaj_e79c33b5a3e4c25afb407e68e98df1829a68e5a7/uimaj-core/src/main/java/org/apache/uima/cas/impl/CasSerializerSupport.java,org.apache.uima.cas.impl.CasSerializerSupport$CasSerializerSupportSerialize,innerclass,2,2,0,2,15,1,0,0,105,0.0,0.0,0.0,15,0,0,0,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1033,0
