file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/extensions/router/router-service/src/main/java/org/apache/unomi/router/services/ExportConfigurationServiceImpl.java,org.apache.unomi.router.services.ExportConfigurationServiceImpl,delete/1[java.lang.String],e,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/extensions/router/router-service/src/main/java/org/apache/unomi/router/services/ExportConfigurationServiceImpl.java,org.apache.unomi.router.services.ExportConfigurationServiceImpl,delete/1[java.lang.String],configId,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/extensions/router/router-service/src/main/java/org/apache/unomi/router/services/ExportConfigurationServiceImpl.java,org.apache.unomi.router.services.ExportConfigurationServiceImpl,load/1[java.lang.String],configId,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/extensions/router/router-service/src/main/java/org/apache/unomi/router/services/ExportConfigurationServiceImpl.java,org.apache.unomi.router.services.ExportConfigurationServiceImpl,"save/2[org.apache.unomi.router.api.ExportConfiguration,boolean]",exportConfiguration,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/extensions/router/router-service/src/main/java/org/apache/unomi/router/services/ExportConfigurationServiceImpl.java,org.apache.unomi.router.services.ExportConfigurationServiceImpl,"save/2[org.apache.unomi.router.api.ExportConfiguration,boolean]",updateRunningRoute,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/extensions/router/router-service/src/main/java/org/apache/unomi/router/services/ExportConfigurationServiceImpl.java,org.apache.unomi.router.services.ExportConfigurationServiceImpl,"save/2[org.apache.unomi.router.api.ExportConfiguration,boolean]",e,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/extensions/router/router-service/src/main/java/org/apache/unomi/router/services/ExportConfigurationServiceImpl.java,org.apache.unomi.router.services.ExportConfigurationServiceImpl,setRouterCamelContext/1[org.apache.unomi.router.api.IRouterCamelContext],routerCamelContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/persistence-spi/src/main/java/org/apache/unomi/persistence/spi/aggregate/TermsAggregate.java,org.apache.unomi.persistence.spi.aggregate.TermsAggregate,TermsAggregate/1[java.lang.String],field,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/persistence-spi/src/main/java/org/apache/unomi/persistence/spi/aggregate/TermsAggregate.java,org.apache.unomi.persistence.spi.aggregate.TermsAggregate,"TermsAggregate/3[java.lang.String,int,int]",partition,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/unomi_1745c5221401a05e66ebf80fbe9cce2790442b3a/persistence-spi/src/main/java/org/apache/unomi/persistence/spi/aggregate/TermsAggregate.java,org.apache.unomi.persistence.spi.aggregate.TermsAggregate,"TermsAggregate/3[java.lang.String,int,int]",field,1
