file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/util/TemplateBoolean.java,org.apache.velocity.util.TemplateBoolean,getAsBoolean/0,false,32,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/runtime/parser/node/ASTAndNode.java,org.apache.velocity.runtime.parser.node.ASTAndNode,"jjtAccept/2[org.apache.velocity.runtime.parser.node.ParserVisitor,java.lang.Object]",false,64,1,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/runtime/parser/node/ASTAndNode.java,org.apache.velocity.runtime.parser.node.ASTAndNode,"ASTAndNode/2[org.apache.velocity.runtime.parser.Parser,int]",true,49,1,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/runtime/parser/node/ASTAndNode.java,org.apache.velocity.runtime.parser.node.ASTAndNode,evaluate/1[org.apache.velocity.context.InternalContextAdapter],false,97,3,3,1,2,5,2,13,3,2,1,2,0,0,0,2,0,0,0,2,2,0,2,0,0,0,25,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/runtime/parser/node/ASTAndNode.java,org.apache.velocity.runtime.parser.node.ASTAndNode,getLiteralOperator/0,false,55,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/runtime/parser/node/ASTAndNode.java,org.apache.velocity.runtime.parser.node.ASTAndNode,value/1[org.apache.velocity.context.InternalContextAdapter],false,79,2,1,0,1,2,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/runtime/parser/node/ASTAndNode.java,org.apache.velocity.runtime.parser.node.ASTAndNode,ASTAndNode/1[int],true,40,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/runtime/parser/node/ASTIdentifier.java,org.apache.velocity.runtime.parser.node.ASTIdentifier,"jjtAccept/2[org.apache.velocity.runtime.parser.node.ParserVisitor,java.lang.Object]",false,96,1,1,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/runtime/parser/node/ASTIdentifier.java,org.apache.velocity.runtime.parser.node.ASTIdentifier,literal/0,false,298,1,1,0,1,2,1,6,2,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,23,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/velocity-engine_c85f3e586f00fea89dc21253d017baa180957b75/velocity-engine-core/src/main/java/org/apache/velocity/runtime/parser/node/ASTIdentifier.java,org.apache.velocity.runtime.parser.node.ASTIdentifier,ASTIdentifier/1[int],true,69,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
