file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/util/uri/CommonURIResolverTestCase.java,org.apache.xmlgraphics.util.uri.CommonURIResolverTestCase,class,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,19,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,class,3,8,5,3,21,1,0,1,117,0.8578948,0.05263158,0.05263158,19,0,19,0,0,0,19,0,0,0,10,1,0,10,0,0,1,0,2,74,9,0,0,0,0,2,5,13,0,10,1,0,0,0,253,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/image/loader/ImageLoaderTestCase.java,org.apache.xmlgraphics.image.loader.ImageLoaderTestCase,class,22,23,1,22,19,4,0,32,0,0.25,0.6666667,0.6666667,8,0,6,2,0,0,6,0,0,0,1,0,0,1,0,0,0,0,4,193,1,3,2,4,2,27,16,58,1,56,4,0,1,0,85,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/xmp/XMPArray.java,org.apache.xmlgraphics.xmp.XMPArray,class,8,17,9,8,50,2,0,22,18,0.5833333,0.4857143,0.74285716,16,0,15,1,0,0,15,0,0,0,3,0,0,3,0,0,0,0,0,139,18,4,18,0,6,15,14,33,3,26,3,0,0,0,104,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/java2d/color/ColorWithAlternativesTestCase.java,org.apache.xmlgraphics.java2d.color.ColorWithAlternativesTestCase,class,5,5,0,5,2,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,24,0,0,0,0,0,0,26,10,0,8,0,0,0,0,23,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImage.java,org.apache.xmlgraphics.image.codec.tiff.TIFFImage,class,15,18,3,15,271,2,0,51,40,0.8592469,0.5,0.5,13,1,4,9,0,0,4,0,0,1,47,21,9,14,0,24,21,0,44,1142,7,37,149,14,70,59,370,394,158,222,5,0,0,0,272,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/xmp/XMPSchemaRegistry.java,org.apache.xmlgraphics.xmp.XMPSchemaRegistry,class,10,21,11,10,5,1,0,5,8,0.70000005,0.33333334,0.33333334,5,1,3,2,0,0,3,0,0,0,2,1,0,2,0,0,0,0,0,26,2,0,0,0,0,0,0,2,0,2,0,0,0,0,45,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/util/io/RunLengthEncodeOutputStream.java,org.apache.xmlgraphics.util.io.RunLengthEncodeOutputStream,class,3,5,2,3,24,3,0,7,13,0.74999994,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,10,7,0,10,0,0,7,0,0,126,0,2,7,0,4,0,40,31,20,11,3,0,0,0,48,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/ps/dsc/ResourceTracker.java,org.apache.xmlgraphics.ps.dsc.ResourceTracker,class,8,15,7,8,39,1,0,17,39,0.70666665,0.34615386,0.7051282,15,0,13,2,0,0,13,0,0,0,5,0,0,5,0,0,0,0,2,134,6,2,19,0,2,0,1,9,0,9,3,0,1,0,138,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/util/dijkstra/DijkstraAlgorithm.java,org.apache.xmlgraphics.util.dijkstra.DijkstraAlgorithm$Anonymous1,anonymous,2,2,0,2,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,0,1,0,2,2,0,2,1,0,0,0,9,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/examples/java/image/loader/ViewerFrame.java,image.loader.ViewerFrame,class,3,5,2,3,2,6,0,4,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,37,0,0,0,0,0,2,2,2,0,2,0,1,1,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/ps/dsc/events/DSCCommentBeginDocument.java,org.apache.xmlgraphics.ps.dsc.events.DSCCommentBeginDocument,class,4,6,2,4,16,3,0,16,25,0.6666667,0.22222222,0.33333334,10,0,10,0,0,0,10,0,0,0,3,0,0,3,0,0,0,0,1,58,5,0,3,0,0,1,0,11,0,7,2,0,0,0,53,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/util/ServiceTestCase.java,org.apache.xmlgraphics.util.ServiceTestCase,class,3,4,1,3,12,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,59,0,4,2,0,1,10,0,21,0,14,2,0,0,0,41,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/xmp/schemas/pdf/AdobePDFSchema.java,org.apache.xmlgraphics.xmp.schemas.pdf.AdobePDFSchema,class,4,6,2,4,3,2,0,0,1,0.5,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,2,2,1,1,0,0,1,0,0,13,2,0,0,0,0,1,0,2,0,2,0,0,0,0,41,1,0
