file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/util/uri/CommonURIResolverTestCase.java,org.apache.xmlgraphics.util.uri.CommonURIResolverTestCase,testDataURLHandling/0,resolver,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,setExpandPalette/1[boolean],expandPalette,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,setGenerateEncodeParam/1[boolean],generateEncodeParam,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,setUserExponent/1[float],userExponent,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,setOutput8BitGray/1[boolean],output8BitGray,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,setExpandGrayAlpha/1[boolean],expandGrayAlpha,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,setEncodeParam/1[org.apache.xmlgraphics.image.codec.png.PNGEncodeParam],encodeParam,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,setPerformGammaCorrection/1[boolean],performGammaCorrection,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,setSuppressAlpha/1[boolean],suppressAlpha,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/main/java/org/apache/xmlgraphics/image/codec/png/PNGDecodeParam.java,org.apache.xmlgraphics.image.codec.png.PNGDecodeParam,setDisplayExponent/1[float],displayExponent,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/image/loader/ImageLoaderTestCase.java,org.apache.xmlgraphics.image.loader.ImageLoaderTestCase,testEPSBinary/0,sessionContext,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/image/loader/ImageLoaderTestCase.java,org.apache.xmlgraphics.image.loader.ImageLoaderTestCase,testEPSBinary/0,img,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/image/loader/ImageLoaderTestCase.java,org.apache.xmlgraphics.image.loader.ImageLoaderTestCase,testEPSBinary/0,c,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/image/loader/ImageLoaderTestCase.java,org.apache.xmlgraphics.image.loader.ImageLoaderTestCase,testEPSBinary/0,manager,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/image/loader/ImageLoaderTestCase.java,org.apache.xmlgraphics.image.loader.ImageLoaderTestCase,testEPSBinary/0,in,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/image/loader/ImageLoaderTestCase.java,org.apache.xmlgraphics.image.loader.ImageLoaderTestCase,testEPSBinary/0,reader,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/image/loader/ImageLoaderTestCase.java,org.apache.xmlgraphics.image.loader.ImageLoaderTestCase,testEPSBinary/0,imgEPS,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xml-graphics-commons_dabbb28ff2d80efad587b84b16c73f54379cd514/src/test/java/org/apache/xmlgraphics/image/loader/ImageLoaderTestCase.java,org.apache.xmlgraphics.image.loader.ImageLoaderTestCase,testEPSBinary/0,uri,1
