file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.generator/src-gen/org/eclipse/xtext/generator/parser/antlr/debug/services/SimpleAntlrGrammarAccess.java,org.eclipse.xtext.generator.parser.antlr.debug.services.SimpleAntlrGrammarAccess$GuardedElements,innerclass,7,7,0,7,10,2,0,4,45,0.9,0.0,0.0,10,0,10,0,0,0,10,0,0,0,10,0,0,10,0,0,10,0,0,42,10,0,0,0,0,1,9,10,0,10,0,0,0,0,35,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.generator/src-gen/org/eclipse/xtext/generator/parser/antlr/debug/parseTreeConstruction/SimpleAntlrParsetreeConstructor.java,org.eclipse.xtext.generator.parser.antlr.debug.parseTreeConstruction.SimpleAntlrParsetreeConstructor$RuleCall_RightSquareBracketKeyword_1_3,innerclass,9,9,0,9,5,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,4,0,0,0,1,0,0,0,28,4,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.extras.tests/src-gen2/org/eclipse/xtext/lexer/services/BacktrackingLexerTestLanguageGrammarAccess.java,org.eclipse.xtext.lexer.services.BacktrackingLexerTestLanguageGrammarAccess$ModelElements,innerclass,6,6,0,6,14,2,0,4,91,0.9285715,0.0,0.0,14,0,14,0,0,0,14,0,0,0,14,0,0,14,0,0,14,0,0,58,14,0,0,0,0,1,13,14,0,14,0,0,0,0,35,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.xbase.tests/src/org/eclipse/xtext/xbase/tests/serializer/XFunctionTypeRefAwareSerializerTester.java,org.eclipse.xtext.xbase.tests.serializer.XFunctionTypeRefAwareSerializerTester,class,2,3,1,2,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.common.types/src/org/eclipse/xtext/common/types/access/impl/CachingDeclaredTypeFactory.java,org.eclipse.xtext.common.types.access.impl.CachingDeclaredTypeFactory,class,7,9,2,7,10,1,0,12,0,0.5625,1.0,1.0,4,0,2,2,0,0,2,0,0,0,4,1,0,4,0,0,4,0,0,42,5,0,3,1,0,1,0,8,1,7,2,0,0,0,111,1,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.generator/src-gen/org/eclipse/xtext/generator/parser/antlr/debug/simpleAntlr/impl/AndExpressionImpl.java,org.eclipse.xtext.generator.parser.antlr.debug.simpleAntlr.impl.AndExpressionImpl,class,9,11,2,9,39,3,0,16,54,0.6923077,0.15384616,0.26923078,13,0,11,0,2,0,13,0,0,0,2,0,0,0,2,0,0,0,0,105,18,0,12,0,4,0,0,16,4,8,2,0,0,0,59,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.generator/src-gen/org/eclipse/xtext/generator/parser/antlr/debug/simpleAntlr/impl/SkipImpl.java,org.eclipse.xtext.generator.parser.antlr.debug.simpleAntlr.impl.SkipImpl,class,4,5,1,4,2,4,0,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.xbase/src/org/eclipse/xtext/xbase/scoping/batch/StaticExtensionImportsScope.java,org.eclipse.xtext.xbase.scoping.batch.StaticExtensionImportsScope,class,21,23,2,21,31,5,0,23,11,0.65000004,0.37777779,0.62222224,10,0,1,0,9,0,10,0,0,0,4,0,0,4,0,0,4,0,1,90,9,2,6,0,0,0,2,16,0,16,3,0,0,0,76,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.generator/src-gen/org/eclipse/xtext/generator/parser/antlr/debug/parser/antlr/internal/InternalSimpleAntlrLexer.java,org.eclipse.xtext.generator.parser.antlr.debug.parser.antlr.internal.InternalSimpleAntlrLexer,class,11,13,2,11,187,3,0,42,703,0.97422075,0.0,0.0,38,0,38,0,0,0,39,0,33,0,49,48,34,0,1,14,48,0,0,1082,1,9,19,33,52,106,168,239,0,154,6,0,1,0,139,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.xbase/src/org/eclipse/xtext/xbase/scoping/batch/AbstractStaticImportsScope.java,org.eclipse.xtext.xbase.scoping.batch.AbstractStaticImportsScope,class,15,19,4,15,24,4,2,23,36,0.0,0.0,0.0,9,0,1,0,8,0,9,2,0,0,0,0,0,0,0,0,0,0,2,101,4,5,2,0,0,0,0,10,0,10,3,1,0,0,59,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.generator/src/org/eclipse/xtext/generator/parseTreeConstructor/ParseTreeConstructorFragment.java,org.eclipse.xtext.generator.parseTreeConstructor.ParseTreeConstructorFragment,class,11,12,1,11,13,3,0,20,11,0.72222227,0.13333334,0.2,6,0,5,0,1,0,6,0,0,0,3,1,0,3,0,0,1,0,4,43,3,0,4,1,0,4,1,10,2,7,3,0,0,0,82,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-extras_5634c291880cd46fe2f8e9a47e48ef88b85e8bda/org.eclipse.xtext.xbase/src/org/eclipse/xtext/xbase/typesystem/internal/IReentrantTypeResolver.java,org.eclipse.xtext.xbase.typesystem.internal.IReentrantTypeResolver,interface,6,12,6,6,2,1,0,0,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,38,1,0
