file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtext.xbase.lib/src/org/eclipse/xtext/xbase/lib/Exceptions.java,org.eclipse.xtext.xbase.lib.Exceptions,class,3,5,2,3,3,1,0,1,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,1,0,0,2,0,0,0,0,1,0,0,0,82,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtext.xbase.lib.tests/xtend-gen/org/eclipse/xtext/xbase/tests/lib/internal/ToStringBuilderTest.java,org.eclipse.xtext.xbase.tests.lib.internal.ToStringBuilderTest,class,7,8,1,7,8,1,0,19,28,0.0,0.0,0.0,8,1,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,201,1,0,0,0,0,74,0,27,0,23,0,0,3,0,48,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtend.lib.macro/src/org/eclipse/xtend/lib/macro/declaration/EnumerationTypeDeclaration.java,org.eclipse.xtend.lib.macro.declaration.EnumerationTypeDeclaration,interface,3,7,4,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtext.xbase.lib.gwt/src-super/org/eclipse/xtext/xbase/lib/super/org/eclipse/xtext/xbase/lib/util/ToStringContext.java,org.eclipse.xtext.xbase.lib.util.ToStringContext,class,2,4,2,2,3,1,0,2,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,2,1,1,0,0,2,0,0,10,1,0,1,0,0,1,0,2,0,2,0,0,0,0,18,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtend.lib/xtend-gen/org/eclipse/xtend/lib/annotations/AccessorsProcessor.java,org.eclipse.xtend.lib.annotations.AccessorsProcessor$Util,innerclass,40,40,0,40,48,1,0,63,115,0.57894737,0.11029412,0.11029412,19,0,17,2,0,0,17,0,0,0,1,0,0,1,0,0,0,0,22,255,24,0,13,0,25,14,2,63,2,41,2,2,0,8,87,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtend.lib.macro/src/org/eclipse/xtend/lib/macro/declaration/ClassDeclaration.java,org.eclipse.xtend.lib.macro.declaration.ClassDeclaration,interface,4,12,8,4,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtext.xbase.lib/src/org/eclipse/xtext/xbase/lib/Conversions.java,org.eclipse.xtext.xbase.lib.Conversions$WrappedByteArray,innerclass,3,3,0,3,15,3,0,6,0,0.0,0.7777778,0.7777778,9,1,8,0,1,0,9,0,0,0,1,0,0,1,0,0,1,0,2,52,14,0,0,0,3,0,7,3,0,2,1,0,0,0,81,25,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtext.xbase.lib.tests/src/org/eclipse/xtext/xbase/tests/lib/IteratorExtensionsTest.java,org.eclipse.xtext.xbase.tests.lib.IteratorExtensionsTest$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtext.xbase.lib.tests/xtend-gen/org/eclipse/xtext/xbase/tests/lib/internal/ToStringHelperTest.java,org.eclipse.xtext.xbase.tests.lib.internal.ToStringHelperTest$OtherClass,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/xtext-lib_338fb2381278a5ea2cd24ba77d74e4889db56cfa/org.eclipse.xtext.xbase.lib/src/org/eclipse/xtext/xbase/lib/ComparableExtensions.java,org.eclipse.xtext.xbase.lib.ComparableExtensions,class,4,4,0,4,9,1,0,1,10,0.0,0.0,0.0,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,5,4,0,0,0,0,0,0,0,39,1,0
